chr	stt	end	count.ctrl	count.treatment	rpm.ctrl	rpm.treatment	log2fc	p.val	adj.pval
1	10800	11000	4	12	41.2864869328269	111.379246333766	1.43173886561597	0.0833762806572721	0.596018676624054
1	145600	145800	1	13	10.3216217332067	120.660850194914	3.5472160830359	0.00218111956033363	0.109465318409784
1	1786200	1786800	74	114	763.800008257297	1058.10284017078	0.470213013430603	0.0284819937119566	0.397820219103216
1	2045000	2045200	7	2	72.2513521324471	18.5632077222944	-1.96057855716279	0.0946750718481918	0.629516548985582
1	2158600	2159200	18	6	185.789191197721	55.6896231668832	-1.73818613582635	0.00736074655435023	0.225658313604508
1	2745600	2745800	8	1	82.5729738656538	9.28160386114721	-3.15322363510519	0.0162720343613615	0.32119397277236
1	2929600	2929800	11	3	113.537839065274	27.8448115834416	-2.02769275302133	0.0288833732922283	0.397820219103216
1	3169600	3169800	0	5	0	46.408019305736	Inf	0.0642585691133086	0.510082589032899
1	4986400	4986800	8	2	82.5729738656538	18.5632077222944	-2.15322363510519	0.054727962787161	0.510082589032899
1	5945000	5945400	18	9	185.789191197721	83.5344347503249	-1.15322363510519	0.0534048319100307	0.510082589032899
1	6072600	6072800	9	0	92.8945955988605	0	-Inf	0.00119556845357888	0.0690611529086705
1	6544400	6544600	3	11	30.9648651996202	102.097642472619	1.72124548281095	0.0621930375370335	0.510082589032899
1	7080800	7081000	0	6	0	55.6896231668832	Inf	0.0325707650378729	0.397820219103216
1	7154800	7155000	1	13	10.3216217332067	120.660850194914	3.5472160830359	0.00218111956033363	0.109465318409784
1	7339000	7339200	7	2	72.2513521324471	18.5632077222944	-1.96057855716279	0.0946750718481918	0.629516548985582
1	7655600	7655800	4	0	41.2864869328269	0	-Inf	0.0502536721720206	0.508810145287504
1	8097400	8097600	0	5	0	46.408019305736	Inf	0.0642585691133086	0.510082589032899
1	8102600	8102800	23	10	237.397299863755	92.8160386114721	-1.35485749627484	0.0135227987030624	0.298988371324778
1	8285400	8285600	0	9	0	83.5344347503249	Inf	0.00430524272362563	0.170314192242351
1	8424400	8424800	9	23	92.8945955988605	213.476888806386	1.20041331950951	0.0332357444882539	0.404943183140244
1	9114400	9114600	0	5	0	46.408019305736	Inf	0.0642585691133086	0.510082589032899
1	9295400	9295600	0	5	0	46.408019305736	Inf	0.0642585691133086	0.510082589032899
1	9296200	9296400	0	6	0	55.6896231668832	Inf	0.0325707650378729	0.397820219103216
1	9982600	9983000	7	2	72.2513521324471	18.5632077222944	-1.96057855716279	0.0946750718481918	0.629516548985582
1	10091800	10092000	0	7	0	64.9712270280304	Inf	0.0165512524496933	0.32119397277236
1	10093200	10094000	8	23	82.5729738656538	213.476888806386	1.37033832095182	0.0185844069028869	0.350365849780765
1	10094600	10095200	4	23	41.2864869328269	213.476888806386	2.37033832095182	0.000706330887921925	0.0499219303714526
1	11527400	11527600	0	6	0	55.6896231668832	Inf	0.0325707650378729	0.397820219103216
1	12163000	12164600	15	58	154.824325998101	538.333023946538	1.79786676441386	2.89162293331999e-06	0.000621683799296521
1	12165200	12165400	7	31	72.2513521324471	287.729719695563	1.99361775322408	0.000269714021450032	0.0251713218250494
1	12349800	12350000	5	0	51.6081086660336	0	-Inf	0.0237932546184408	0.352867126439598
1	12499200	12499400	4	0	41.2864869328269	0	-Inf	0.0502536721720206	0.508810145287504
1	12508400	12508800	24	14	247.718921596961	129.942454056061	-0.930831213768741	0.0528745186282316	0.510082589032899
1	12517000	12517200	0	5	0	46.408019305736	Inf	0.0642585691133086	0.510082589032899
1	13675800	13676200	7	2	72.2513521324471	18.5632077222944	-1.96057855716279	0.0946750718481918	0.629516548985582
1	13989400	13989600	4	0	41.2864869328269	0	-Inf	0.0502536721720206	0.508810145287504
1	14455400	14455600	0	5	0	46.408019305736	Inf	0.0642585691133086	0.510082589032899
1	14462400	14462600	7	0	72.2513521324471	0	-Inf	0.00533358069961812	0.175181509661257
1	15354000	15354200	1	8	10.3216217332067	74.2528308891776	2.84677636489481	0.0414409640926658	0.465458950607589
1	15414400	15414600	5	0	51.6081086660336	0	-Inf	0.0237932546184408	0.352867126439598
1	15778200	15778400	13	0	134.181082531687	0	-Inf	6.00699504609432e-05	0.0079273562748926
1	16438600	16438800	6	0	61.9297303992403	0	-Inf	0.0112651645945876	0.25889953786636
1	17680800	17681000	7	0	72.2513521324471	0	-Inf	0.00533358069961812	0.175181509661257
1	17685200	17685400	7	2	72.2513521324471	18.5632077222944	-1.96057855716279	0.0946750718481918	0.629516548985582
1	17724200	17724400	133	3	1372.77569051649	27.8448115834416	-5.62354356988522	3.80414128198584e-39	1.2851910907061e-35
1	18206600	18206800	10	3	103.216217332067	27.8448115834416	-1.8901892292714	0.048465438648127	0.508810145287504
1	18992000	18992200	4	0	41.2864869328269	0	-Inf	0.0502536721720206	0.508810145287504
1	19969600	19969800	8	20	82.5729738656538	185.632077222944	1.16870445978217	0.0574647143237191	0.510082589032899
1	21414400	21414600	16	2	165.145947731308	18.5632077222944	-3.15322363510519	0.000466613906474383	0.0390200104364618
1	21467200	21467400	0	7	0	64.9712270280304	Inf	0.0165512524496933	0.32119397277236
1	22893200	22893600	20	5	206.432434664134	46.408019305736	-2.15322363510519	0.0010736190815394	0.0690611529086705
1	24046600	24046800	9	3	92.8945955988605	27.8448115834416	-1.73818613582635	0.0801547961583428	0.57738798153805
1	24197400	24197600	6	0	61.9297303992403	0	-Inf	0.0112651645945876	0.25889953786636
1	25071800	25072000	37	0	381.900004128649	0	-Inf	9.64630452459176e-13	5.81947771533586e-10
1	25388200	25388400	10	0	103.216217332067	0	-Inf	0.000566042049412087	0.0423229918582493
1	25452000	25452200	0	5	0	46.408019305736	Inf	0.0642585691133086	0.510082589032899
1	25718600	25718800	6	0	61.9297303992403	0	-Inf	0.0112651645945876	0.25889953786636
1	26435400	26435600	1	7	10.3216217332067	64.9712270280304	2.65413128695242	0.0733899816895806	0.537366090463977
1	28955800	28956000	8	0	82.5729738656538	0	-Inf	0.00252521196888287	0.112548497568257
1	29035600	29035800	10	0	103.216217332067	0	-Inf	0.000566042049412087	0.0423229918582493
1	29363200	29363400	140	98	1445.02704264894	909.597178392426	-0.667796807934947	0.000432816162042866	0.0371123381179091
1	29495400	29495600	10	2	103.216217332067	18.5632077222944	-2.47515172999255	0.0175300436392092	0.331970288288701
