1	10800	11000
1	36000	36200
1	45600	45800
1	91800	92000
1	145600	145800
1	155400	155600
1	162400	162800
1	322000	322200
1	459200	459400
1	517400	517800
1	1201600	1201800
1	1563200	1563400
1	1754600	1755000
1	1785600	1785800
1	1786200	1786800
1	2045000	2045200
1	2157200	2157400
1	2158600	2159200
1	2389200	2389400
1	2654800	2655200
1	2745600	2745800
1	2802000	2802200
1	2929600	2929800
1	3035000	3035200
1	3169600	3169800
1	3280000	3280200
1	3396400	3396600
1	3460000	3460200
1	3661600	3661800
1	3828600	3828800
1	3881800	3882000
1	3882400	3882600
1	3896000	3896200
1	4042800	4043000
1	4044600	4044800
1	4204000	4204200
1	4438600	4438800
1	4504600	4504800
1	4550000	4550200
1	4708600	4708800
1	4721000	4721200
1	4735000	4735200
1	4747600	4747800
1	4791200	4791400
1	4798000	4798600
1	4844800	4845000
1	4855200	4855400
1	4973400	4973600
1	4985200	4985400
1	4986400	4986800
1	4998400	4998600
1	5008400	5008600
1	5010000	5010200
1	5010800	5011000
1	5017200	5017400
1	5021400	5021600
1	5023200	5023400
1	5038800	5039000
1	5051000	5051200
1	5217200	5217400
1	5377200	5377600
1	5531800	5532200
1	5534400	5534600
1	5535000	5535200
1	5575600	5576000
1	5619000	5619200
1	5643000	5643200
1	5646200	5646400
1	5801000	5801200
1	5827600	5828000
1	5862200	5862400
1	5869800	5870000
1	5874200	5874400
1	5945000	5945400
1	6071400	6071600
1	6072600	6072800
1	6079400	6079600
1	6169400	6169600
1	6172400	6172600
1	6180400	6180600
1	6187200	6187400
1	6209600	6209800
1	6223800	6224000
1	6234400	6234600
1	6313400	6313600
1	6405200	6405400
1	6406400	6406600
1	6534000	6534200
1	6544400	6544600
1	6607600	6607800
1	6790200	6790400
1	6827400	6827600
1	6914400	6914600
1	6925600	6925800
1	7063600	7063800
1	7080800	7081000
1	7083000	7083200
1	7154800	7155000
1	7159000	7159200
1	7192200	7192400
1	7295400	7295600
1	7309600	7309800
1	7339000	7339200
1	7352000	7352200
1	7383000	7383200
1	7386600	7386800
1	7594400	7594600
1	7655600	7655800
1	7709200	7709400
1	7945600	7945800
1	8028400	8028800
1	8097400	8097600
1	8102600	8102800
1	8143200	8143400
1	8181600	8181800
1	8229000	8229200
1	8229600	8229800
1	8255200	8255400
1	8271600	8271800
1	8285400	8285600
1	8364000	8364200
1	8424400	8424800
1	8451000	8451200
1	8530800	8531000
1	8620200	8620400
1	8881000	8881200
1	8926200	8926400
1	9050200	9050400
1	9114400	9114600
1	9295400	9295600
1	9296200	9296400
1	9307000	9307200
1	9431800	9432000
1	9806600	9806800
1	9954200	9954600
1	9982600	9983000
1	10017200	10017400
1	10029400	10029600
1	10070200	10070400
1	10091000	10091200
1	10091800	10092000
1	10093200	10094000
1	10094600	10095200
1	10287200	10287400
1	10538200	10538400
1	10542200	10542400
1	10543000	10543200
1	10585000	10585400
1	10678600	10678800
1	10694600	10694800
1	10896400	10896600
1	11211800	11212000
1	11300400	11300600
1	11397600	11397800
